Date,Gross_Return,Net_Return,Cumulative_Gross,Cumulative_Net
2022-01-05,0.0,0.0,1.0,1.0
2022-01-06,0.0,0.0,1.0,1.0
2022-01-07,0.0,0.0,1.0,1.0
2022-01-10,0.0,0.0,1.0,1.0
2022-01-11,0.0,0.0,1.0,1.0
2022-01-12,0.0,0.0,1.0,1.0
2022-01-13,0.0,0.0,1.0,1.0
2022-01-14,0.0,0.0,1.0,1.0
2022-01-18,0.0,0.0,1.0,1.0
2022-01-19,0.0,0.0,1.0,1.0
2022-01-20,0.0,0.0,1.0,1.0
2022-01-21,0.0,0.0,1.0,1.0
2022-01-24,0.0,0.0,1.0,1.0
2022-01-25,0.0,0.0,1.0,1.0
2022-01-26,0.0,0.0,1.0,1.0
2022-01-27,0.0,0.0,1.0,1.0
2022-01-28,0.0,0.0,1.0,1.0
2022-01-31,0.0,0.0,1.0,1.0
2022-02-01,0.0,0.0,1.0,1.0
2022-02-02,0.0,0.0,1.0,1.0
2022-02-03,0.0,0.0,1.0,1.0
2022-02-04,0.0,0.0,1.0,1.0
2022-02-07,0.0,0.0,1.0,1.0
2022-02-08,0.0,0.0,1.0,1.0
2022-02-09,0.0,0.0,1.0,1.0
2022-02-10,0.0,0.0,1.0,1.0
2022-02-11,0.0,0.0,1.0,1.0
2022-02-14,0.0,0.0,1.0,1.0
2022-02-15,0.0,0.0,1.0,1.0
2022-02-16,0.0,0.0,1.0,1.0
2022-02-17,0.0,0.0,1.0,1.0
2022-02-18,0.0,0.0,1.0,1.0
2022-02-22,0.0,0.0,1.0,1.0
2022-02-23,0.0,0.0,1.0,1.0
2022-02-24,0.0,0.0,1.0,1.0
2022-02-25,0.0,0.0,1.0,1.0
2022-02-28,0.0,0.0,1.0,1.0
2022-03-01,0.0,0.0,1.0,1.0
2022-03-02,0.0,0.0,1.0,1.0
2022-03-03,0.0,0.0,1.0,1.0
2022-03-04,0.0,0.0,1.0,1.0
2022-03-07,0.0,0.0,1.0,1.0
2022-03-08,0.0,0.0,1.0,1.0
2022-03-09,0.0,0.0,1.0,1.0
2022-03-10,0.0,0.0,1.0,1.0
2022-03-11,0.0,0.0,1.0,1.0
2022-03-14,0.0,0.0,1.0,1.0
2022-03-15,0.0,0.0,1.0,1.0
2022-03-16,0.0,0.0,1.0,1.0
2022-03-17,0.0,0.0,1.0,1.0
2022-03-18,0.0,0.0,1.0,1.0
2022-03-21,0.0,0.0,1.0,1.0
2022-03-22,0.0,0.0,1.0,1.0
2022-03-23,0.0,0.0,1.0,1.0
2022-03-24,0.0,0.0,1.0,1.0
2022-03-25,0.0,0.0,1.0,1.0
2022-03-28,0.0,0.0,1.0,1.0
2022-03-29,0.008703167427578928,0.006703167427578928,1.008703167427579,1.006703167427579
2022-03-30,-0.025755642598982498,-0.025755642598982498,0.9827233691588527,0.9807748804440507
2022-03-31,-0.017227355872304007,-0.017227355872304007,0.9657936439543237,0.9638787225480246
2022-04-01,-0.00879274889345033,-0.00879274889345033,0.957301662960143,0.9554035789769202
2022-04-04,0.026761651353260918,0.026761651353260918,0.9829206363041793,0.9809717564591582
2022-04-05,-0.030235603197828732,-0.031568936531162065,0.9532014379699288,0.9500035213406365
2022-04-06,-0.03653202020044341,-0.03753202020044341,0.9183790637829197,0.9143479699871873
2022-04-07,-0.0015561720296183579,-0.0015561720296183579,0.9169499079712736,0.9129250872509549
2022-04-08,-0.02314034083825503,-0.02314034083825503,0.8957313745692118,0.8917996895721741
2022-04-11,-0.03463825048752814,-0.03463825048752814,0.8647048068473456,0.8609093085400734
2022-04-12,-0.0051879161246904115,-0.0051879161246904115,0.860218790836805,0.8564429832564023
2022-04-13,0.025021115673635463,0.025021115673635463,0.8817424247069675,0.8778721422083343
2022-04-14,-0.031071710793006496,-0.031071710793006496,0.8543451790925483,0.8505951528923998
2022-04-18,0.008235129167187938,0.008235129167187938,0.8613808219957398,0.8575999138454529
2022-04-19,0.021273746773503854,0.021273746773503854,0.8797056194784297,0.8758442772455797
2022-04-20,-0.01389915731638322,-0.01389915731638322,0.8674784526811926,0.8636707798514893
2022-04-21,-0.03043003754040885,-0.03043003754040885,0.8410810508006081,0.8373892455980543
2022-04-22,-0.02791781817776398,-0.02791781817776398,0.8175999029515941,0.8140111648954329
2022-04-25,0.014364526701239999,0.01336452670124,0.8293443385884736,0.8248900388437855
2022-04-26,-0.04016082728441957,-0.04016082728441957,0.7960371838471106,0.7917617724651421
2022-04-27,-0.005123963530957232,-0.006457296864290566,0.7919583183477922,0.7866491316545379
2022-04-28,0.04584490879691161,0.04584490879691161,0.8282655752234023,0.8227129893504099
2022-04-29,-0.036604849005687834,-0.038604849005687836,0.7979470389057405,0.7909522786215193
2022-05-02,0.0019664346808505595,0.0019664346808505595,0.7995161496365267,0.7925076346130984
2022-05-03,0.009622692758751494,0.009622692758751494,0.807209647900139,0.8001336920899451
2022-05-04,0.0,-0.002,0.807209647900139,0.7985334247057653
2022-05-05,0.0,0.0,0.807209647900139,0.7985334247057653
2022-05-06,0.0,0.0,0.807209647900139,0.7985334247057653
2022-05-09,0.0,0.0,0.807209647900139,0.7985334247057653
2022-05-10,0.0,0.0,0.807209647900139,0.7985334247057653
2022-05-11,0.0,0.0,0.807209647900139,0.7985334247057653
2022-05-12,0.0,0.0,0.807209647900139,0.7985334247057653
2022-05-13,0.0,0.0,0.807209647900139,0.7985334247057653
2022-05-16,0.0,0.0,0.807209647900139,0.7985334247057653
2022-05-17,0.0,0.0,0.807209647900139,0.7985334247057653
2022-05-18,0.0,0.0,0.807209647900139,0.7985334247057653
2022-05-19,0.0,0.0,0.807209647900139,0.7985334247057653
2022-05-20,0.0,0.0,0.807209647900139,0.7985334247057653
2022-05-23,0.0,0.0,0.807209647900139,0.7985334247057653
2022-05-24,0.0,0.0,0.807209647900139,0.7985334247057653
2022-05-25,0.0,0.0,0.807209647900139,0.7985334247057653
2022-05-26,0.0,0.0,0.807209647900139,0.7985334247057653
2022-05-27,0.0,0.0,0.807209647900139,0.7985334247057653
2022-05-31,0.0,0.0,0.807209647900139,0.7985334247057653
2022-06-01,0.0,0.0,0.807209647900139,0.7985334247057653
2022-06-02,0.0,0.0,0.807209647900139,0.7985334247057653
2022-06-03,0.0,0.0,0.807209647900139,0.7985334247057653
2022-06-06,0.0,0.0,0.807209647900139,0.7985334247057653
2022-06-07,0.0,0.0,0.807209647900139,0.7985334247057653
2022-06-08,0.0,0.0,0.807209647900139,0.7985334247057653
2022-06-09,0.0,0.0,0.807209647900139,0.7985334247057653
2022-06-10,0.0,0.0,0.807209647900139,0.7985334247057653
2022-06-13,0.0,0.0,0.807209647900139,0.7985334247057653
2022-06-14,0.0,0.0,0.807209647900139,0.7985334247057653
2022-06-15,0.0,0.0,0.807209647900139,0.7985334247057653
2022-06-16,0.0,0.0,0.807209647900139,0.7985334247057653
2022-06-17,0.0,0.0,0.807209647900139,0.7985334247057653
2022-06-21,0.0,0.0,0.807209647900139,0.7985334247057653
2022-06-22,0.0,0.0,0.807209647900139,0.7985334247057653
2022-06-23,0.0,0.0,0.807209647900139,0.7985334247057653
2022-06-24,0.0,0.0,0.807209647900139,0.7985334247057653
2022-06-27,0.0,0.0,0.807209647900139,0.7985334247057653
2022-06-28,0.0,0.0,0.807209647900139,0.7985334247057653
2022-06-29,0.0,0.0,0.807209647900139,0.7985334247057653
2022-06-30,0.0,0.0,0.807209647900139,0.7985334247057653
2022-07-01,0.0,0.0,0.807209647900139,0.7985334247057653
2022-07-05,0.0,0.0,0.807209647900139,0.7985334247057653
